,im_perPartition,num_paritions,Mean_time,STD
0,333.3333333333333,6,34.79114265028329,1.4750992277225425
1,166.66666666666666,12,34.12691269950301,1.4733647399848584
2,111.11111111111111,18,35.30920899975172,3.1272338884776305
3,83.33333333333333,24,33.663515749867656,1.2645812220626407
4,66.66666666666667,30,33.63098354966496,0.7948528432705341
5,55.55555555555556,36,33.74841709955945,0.9633360561989138
6,47.61904761904762,42,33.32601909969526,1.0363832485170648
7,41.666666666666664,48,33.019918599529774,0.7064786698658335
8,37.03703703703704,54,33.29332809953485,0.8033567297459098
9,33.333333333333336,60,33.858889900147915,0.774327679765519
10,30.303030303030305,66,33.9684001992282,0.9666882404641278
11,27.77777777777778,72,33.8731760482915,0.7679134095724933
12,25.641025641025642,78,33.83995975018479,1.0012721178690123
13,23.80952380952381,84,33.291015800932655,1.031614154558342
14,22.22222222222222,90,33.225666400176124,0.6752792249079075
15,20.833333333333332,96,32.929568349572946,0.5219697416017928
16,19.607843137254903,102,32.97705350087199,0.8878559541426221
17,18.51851851851852,108,32.925410549432854,0.7306248247487892
18,17.54385964912281,114,32.80344255108503,0.745675066121674
19,16.666666666666668,120,32.55552340087888,1.505685537085997
